cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
p1_lag_k10,10,148037,rossi,4001.0,51.0,1082.41,788.0,131.0,886.0,0.01274681329667583,0.27053486628342915,0.19695076230942266,0.03274181454636341,0.2215
p1_lag_k10,10,148037,threshold,4001.0,1054.0,1663.8,1854.0,0.0,429.0,0.26343414146463384,0.4158460384903774,0.4633841539615096,0.0,0.10725
p1_lag_k10,11,152038,rossi,4001.0,74.0,1116.4499999999998,756.0,172.0,962.0,0.01849537615596101,0.27904273931517115,0.18895276180954762,0.042989252686828294,0.2405
p1_lag_k10,11,152038,threshold,4001.0,1072.0,1723.6,1873.0,0.0,442.0,0.26793301674581355,0.43079230192451884,0.4681329667583104,0.0,0.1105
p1_lag_k10,12,180045,rossi,4001.0,87.0,1029.21,701.0,111.0,797.0,0.02174456385903524,0.25723819045238694,0.1752061984503874,0.027743064233941513,0.19925
p1_lag_k10,12,180045,threshold,4001.0,1083.0,1685.1999999999998,1851.0,0.0,430.0,0.2706823294176456,0.4211947013246688,0.4626343414146463,0.0,0.1075
p1_lag_k10,13,184046,rossi,4001.0,66.0,1109.7799999999997,826.0,129.0,1113.0,0.016495876030992253,0.2773756560859784,0.20644838790302425,0.03224193951512122,0.27825
p1_lag_k10,13,184046,threshold,4001.0,1114.0,1778.7999999999997,1942.0,0.0,464.0,0.27843039240189954,0.4445888527868032,0.485378655336166,0.0,0.116
p1_lag_k10,14,192048,rossi,4001.0,77.0,1125.3200000000002,667.0,203.0,815.0,0.019245188702824295,0.28125968507873034,0.16670832291927018,0.05073731567108223,0.20375
p1_lag_k10,14,192048,threshold,4001.0,1107.0,1773.6,1946.0,0.0,462.0,0.2766808297925519,0.4432891777055736,0.48637840539865035,0.0,0.1155
p1_lag_k10,15,224056,rossi,4001.0,67.0,1117.6399999999999,746.0,164.0,1021.0,0.016745813546613347,0.2793401649587603,0.18645338665333666,0.040989752561859535,0.25525
p1_lag_k10,15,224056,threshold,4001.0,1078.0,1770.3999999999999,1949.0,0.0,468.0,0.26943264183954013,0.44248937765558605,0.48712821794551364,0.0,0.117
p1_lag_k10,16,240060,rossi,4001.0,65.0,976.24,647.0,104.0,773.0,0.016245938515371157,0.2439990002499375,0.1617095726068483,0.02599350162459385,0.19325
p1_lag_k10,16,240060,threshold,4001.0,1013.0,1616.5,1830.0,0.0,422.0,0.253186703324169,0.40402399400149963,0.4573856535866033,0.0,0.1055
p1_lag_k10,17,248062,rossi,4001.0,57.0,984.3399999999999,540.0,119.0,761.0,0.0142464383904024,0.24602349412646837,0.13496625843539115,0.029742564358910272,0.19025
p1_lag_k10,17,248062,threshold,4001.0,1096.0,1706.4,1974.0,0.0,449.0,0.27393151712071984,0.4264933766558361,0.493376655836041,0.0,0.11225
p1_lag_k10,18,256064,rossi,4001.0,45.0,1100.4899999999998,902.0,58.0,1237.0,0.011247188202949263,0.27505373656585846,0.22544363909022744,0.014496375906023495,0.30925
p1_lag_k10,18,256064,threshold,4001.0,1119.0,1755.3,2001.0,0.0,465.0,0.279680079980005,0.4387153211697076,0.5001249687578105,0.0,0.11625
p1_lag_k10,19,260065,rossi,4001.0,74.0,932.8399999999999,648.0,124.0,839.0,0.01849537615596101,0.233151712071982,0.16195951012246937,0.030992251937015745,0.20975
p1_lag_k10,19,260065,threshold,4001.0,1015.0,1600.8,1838.0,0.0,423.0,0.25368657835541114,0.40009997500624844,0.4593851537115721,0.0,0.10575
p1_lag_k10,20,276069,rossi,4001.0,45.0,1128.4,940.0,84.0,1190.0,0.011247188202949263,0.2820294926268433,0.23494126468382903,0.020994751312171957,0.2975
p1_lag_k10,20,276069,threshold,4001.0,1091.0,1752.1,1993.0,0.0,459.0,0.27268182954261433,0.43791552111972004,0.4981254686328418,0.0,0.11475
p1_lag_k10,21,348087,rossi,4001.0,32.0,929.06,506.0,68.0,674.0,0.007998000499875032,0.23220694826293425,0.12646838290427392,0.01699575106223444,0.1685
p1_lag_k10,21,348087,threshold,4001.0,1001.0,1618.6,1912.0,0.0,449.0,0.2501874531367158,0.4045488627843039,0.4778805298675331,0.0,0.11225
p1_lag_k10,22,380095,rossi,4001.0,51.0,936.2800000000002,600.0,150.0,661.0,0.01274681329667583,0.23401149712571861,0.14996250937265684,0.03749062734316421,0.16525
p1_lag_k10,22,380095,threshold,4001.0,1024.0,1609.2,1857.0,0.0,426.0,0.255936015996001,0.40219945013746566,0.4641339665083729,0.0,0.1065
